SampleID,A type,B type
train1087,Numerical,Numerical
train1088,Numerical,Binary
train1089,Numerical,Numerical
train1090,Categorical,Numerical
train1091,Numerical,Numerical
train1092,Numerical,Numerical
train1093,Numerical,Categorical
train1094,Numerical,Numerical
train1095,Numerical,Numerical
train1096,Categorical,Numerical
train1097,Numerical,Numerical
train1098,Numerical,Categorical
train1099,Categorical,Numerical
train1100,Numerical,Numerical
train1101,Numerical,Numerical
train1102,Binary,Numerical
train1103,Binary,Numerical
train1104,Numerical,Numerical
train1105,Numerical,Numerical
train1106,Categorical,Categorical
train1107,Categorical,Numerical
train1108,Binary,Numerical
train1109,Categorical,Numerical
train1110,Numerical,Numerical
train1111,Categorical,Categorical
train1112,Numerical,Categorical
train1113,Numerical,Numerical
train1114,Numerical,Numerical
train1115,Numerical,Numerical
train1116,Numerical,Numerical
train1117,Numerical,Numerical
train1118,Numerical,Numerical
train1119,Numerical,Binary
train1120,Numerical,Numerical
train1121,Numerical,Numerical
train1122,Binary,Numerical
train1123,Numerical,Binary
train1124,Numerical,Numerical
train1125,Numerical,Numerical
train1126,Numerical,Numerical
train1127,Numerical,Binary
train1128,Binary,Categorical
train1129,Numerical,Categorical
train1130,Categorical,Numerical
train1131,Categorical,Numerical
train1132,Numerical,Binary
train1133,Categorical,Categorical
train1134,Numerical,Numerical
train1135,Numerical,Numerical
train1136,Numerical,Numerical
train1137,Categorical,Numerical
train1138,Numerical,Numerical
train1139,Numerical,Categorical
train1140,Numerical,Numerical
train1141,Numerical,Numerical
train1142,Numerical,Numerical
train1143,Categorical,Numerical
train1144,Numerical,Binary
train1145,Categorical,Numerical
train1146,Binary,Numerical
train1147,Numerical,Numerical
train1148,Numerical,Numerical
train1149,Numerical,Binary
train1150,Categorical,Categorical
train1151,Categorical,Binary
train1152,Numerical,Numerical
train1153,Numerical,Numerical
train1154,Numerical,Numerical
train1155,Numerical,Numerical
train1156,Numerical,Binary
train1157,Binary,Numerical
train1158,Binary,Numerical
train1159,Numerical,Numerical
train1160,Numerical,Numerical
train1161,Numerical,Numerical
train1162,Numerical,Numerical
train1163,Numerical,Categorical
train1164,Numerical,Numerical
train1165,Numerical,Numerical
train1166,Categorical,Numerical
train1167,Numerical,Binary
train1168,Numerical,Numerical
train1169,Numerical,Numerical
train1170,Numerical,Numerical
train1171,Numerical,Binary
train1172,Numerical,Numerical
train1173,Binary,Numerical
train1174,Numerical,Categorical
train1175,Binary,Binary
train1176,Numerical,Numerical
train1177,Numerical,Binary
train1178,Numerical,Numerical
train1179,Numerical,Numerical
train1180,Numerical,Numerical
train1181,Numerical,Numerical
train1182,Binary,Numerical
train1183,Numerical,Numerical
train1184,Categorical,Numerical
train1185,Numerical,Numerical
train1186,Numerical,Binary
train1187,Numerical,Numerical
train1188,Numerical,Numerical
train1189,Numerical,Categorical
train1190,Numerical,Numerical
train1191,Numerical,Numerical
train1192,Binary,Numerical
train1193,Numerical,Numerical
train1194,Numerical,Numerical
train1195,Numerical,Numerical
train1196,Numerical,Numerical
train1197,Numerical,Binary
train1198,Numerical,Categorical
train1199,Binary,Numerical
train1200,Numerical,Numerical
train1201,Numerical,Numerical
train1202,Numerical,Numerical
train1203,Numerical,Binary
train1204,Numerical,Numerical
train1205,Numerical,Numerical
train1206,Binary,Numerical
train1207,Numerical,Numerical
train1208,Numerical,Numerical
train1209,Numerical,Numerical
train1210,Numerical,Categorical
train1211,Binary,Numerical
train1212,Numerical,Numerical
train1213,Numerical,Numerical
train1214,Numerical,Numerical
train1215,Numerical,Numerical
train1216,Numerical,Numerical
train1217,Numerical,Numerical
train1218,Numerical,Binary
train1219,Numerical,Categorical
train1220,Categorical,Numerical
train1221,Numerical,Numerical
train1222,Numerical,Categorical
train1223,Numerical,Numerical
train1224,Binary,Numerical
train1225,Categorical,Numerical
train1226,Numerical,Numerical
train1227,Binary,Binary
train1228,Numerical,Binary
train1229,Numerical,Numerical
train1230,Numerical,Numerical
train1231,Categorical,Numerical
train1232,Numerical,Numerical
train1233,Binary,Numerical
train1234,Numerical,Numerical
train1235,Numerical,Binary
train1236,Categorical,Binary
train1237,Numerical,Numerical
train1238,Numerical,Numerical
train1239,Categorical,Binary
train1240,Numerical,Numerical
train1241,Categorical,Categorical
train1242,Numerical,Categorical
train1243,Numerical,Categorical
train1244,Numerical,Numerical
train1245,Binary,Categorical
train1246,Numerical,Numerical
train1247,Numerical,Numerical
train1248,Numerical,Binary
train1249,Numerical,Numerical
train1250,Numerical,Numerical
train1251,Numerical,Numerical
train1252,Numerical,Numerical
train1253,Numerical,Categorical
train1254,Numerical,Numerical
train1255,Numerical,Numerical
train1256,Categorical,Binary
train1257,Numerical,Numerical
train1258,Numerical,Numerical
train1259,Numerical,Binary
train1260,Categorical,Binary
train1261,Numerical,Categorical
train1262,Numerical,Numerical
train1263,Numerical,Numerical
train1264,Numerical,Numerical
train1265,Numerical,Numerical
train1266,Binary,Numerical
train1267,Numerical,Binary
train1268,Numerical,Numerical
train1269,Categorical,Numerical
train1270,Numerical,Numerical
train1271,Numerical,Numerical
train1272,Numerical,Binary
train1273,Binary,Numerical
train1274,Numerical,Numerical
train1275,Categorical,Categorical
train1276,Numerical,Numerical
train1277,Numerical,Numerical
train1278,Numerical,Numerical
train1279,Binary,Categorical
train1280,Categorical,Numerical
train1281,Numerical,Categorical
train1282,Numerical,Numerical
train1283,Numerical,Categorical
train1284,Categorical,Numerical
train1285,Binary,Categorical
train1286,Numerical,Binary
train1287,Numerical,Numerical
train1288,Numerical,Numerical
train1289,Numerical,Binary
train1290,Numerical,Numerical
train1291,Categorical,Numerical
train1292,Binary,Categorical
train1293,Numerical,Numerical
train1294,Numerical,Numerical
train1295,Numerical,Numerical
train1296,Categorical,Numerical
train1297,Numerical,Numerical
train1298,Numerical,Numerical
train1299,Numerical,Numerical
train1300,Binary,Numerical
train1301,Numerical,Numerical
train1302,Numerical,Numerical
train1303,Numerical,Numerical
train1304,Numerical,Numerical
train1305,Numerical,Numerical
train1306,Numerical,Numerical
train1307,Numerical,Numerical
train1308,Numerical,Binary
train1309,Numerical,Numerical
train1310,Numerical,Numerical
train1311,Numerical,Numerical
train1312,Numerical,Numerical
train1313,Numerical,Numerical
train1314,Numerical,Binary
train1315,Binary,Numerical
train1316,Binary,Numerical
train1317,Numerical,Numerical
train1318,Categorical,Numerical
train1319,Numerical,Numerical
train1320,Numerical,Numerical
train1321,Binary,Numerical
train1322,Numerical,Categorical
train1323,Numerical,Numerical
train1324,Numerical,Numerical
train1325,Numerical,Numerical
train1326,Numerical,Numerical
train1327,Numerical,Numerical
train1328,Numerical,Numerical
train1329,Numerical,Numerical
train1330,Numerical,Numerical
train1331,Binary,Numerical
train1332,Numerical,Categorical
train1333,Numerical,Numerical
train1334,Numerical,Numerical
train1335,Numerical,Numerical
train1336,Numerical,Categorical
train1337,Categorical,Categorical
train1338,Numerical,Numerical
train1339,Numerical,Numerical
train1340,Numerical,Numerical
train1341,Numerical,Categorical
train1342,Categorical,Categorical
train1343,Numerical,Numerical
train1344,Numerical,Numerical
train1345,Numerical,Binary
train1346,Numerical,Binary
train1347,Categorical,Categorical
train1348,Numerical,Numerical
train1349,Numerical,Numerical
train1350,Categorical,Categorical
train1351,Numerical,Numerical
train1352,Binary,Numerical
train1353,Numerical,Numerical
train1354,Numerical,Binary
train1355,Numerical,Numerical
train1356,Numerical,Numerical
train1357,Numerical,Numerical
train1358,Numerical,Binary
train1359,Numerical,Numerical
train1360,Numerical,Numerical
train1361,Numerical,Numerical
train1362,Numerical,Numerical
train1363,Numerical,Numerical
train1364,Binary,Categorical
train1365,Categorical,Numerical
train1366,Binary,Numerical
train1367,Categorical,Numerical
train1368,Numerical,Numerical
train1369,Numerical,Numerical
train1370,Numerical,Numerical
train1371,Binary,Categorical
train1372,Binary,Numerical
train1373,Categorical,Numerical
train1374,Numerical,Numerical
train1375,Numerical,Numerical
train1376,Numerical,Numerical
train1377,Numerical,Categorical
train1378,Binary,Numerical
train1379,Numerical,Binary
train1380,Numerical,Numerical
train1381,Categorical,Numerical
train1382,Binary,Numerical
train1383,Numerical,Numerical
train1384,Numerical,Binary
train1385,Numerical,Numerical
train1386,Numerical,Numerical
train1387,Binary,Categorical
train1388,Numerical,Categorical
train1389,Binary,Categorical
train1390,Numerical,Numerical
train1391,Numerical,Numerical
train1392,Categorical,Numerical
train1393,Numerical,Numerical
train1394,Numerical,Binary
train1395,Numerical,Numerical
train1396,Numerical,Numerical
train1397,Numerical,Numerical
train1398,Numerical,Numerical
train1399,Binary,Numerical
train1400,Numerical,Numerical
train1401,Categorical,Numerical
train1402,Numerical,Categorical
train1403,Numerical,Numerical
train1404,Numerical,Categorical
train1405,Numerical,Categorical
train1406,Numerical,Numerical
train1407,Numerical,Categorical
train1408,Binary,Numerical
train1409,Binary,Numerical
train1410,Numerical,Binary
train1411,Numerical,Numerical
train1412,Numerical,Categorical
train1413,Numerical,Numerical
train1414,Numerical,Binary
train1415,Numerical,Numerical
train1416,Numerical,Numerical
train1417,Numerical,Categorical
train1418,Numerical,Numerical
train1419,Numerical,Numerical
train1420,Numerical,Numerical
train1421,Categorical,Categorical
train1422,Numerical,Numerical
train1423,Numerical,Numerical
train1424,Numerical,Numerical
train1425,Numerical,Binary
train1426,Categorical,Categorical
train1427,Numerical,Binary
train1428,Numerical,Numerical
train1429,Numerical,Numerical
train1430,Numerical,Numerical
train1431,Numerical,Numerical
train1432,Numerical,Categorical
train1433,Numerical,Binary
train1434,Numerical,Numerical
train1435,Numerical,Numerical
train1436,Numerical,Numerical
train1437,Numerical,Numerical
train1438,Numerical,Binary
train1439,Numerical,Numerical
train1440,Numerical,Numerical
train1441,Numerical,Categorical
train1442,Binary,Numerical
train1443,Categorical,Numerical
train1444,Numerical,Categorical
train1445,Numerical,Binary
train1446,Numerical,Categorical
train1447,Numerical,Numerical
train1448,Numerical,Binary
train1449,Numerical,Numerical
train1450,Numerical,Numerical
train1451,Numerical,Numerical
train1452,Numerical,Numerical
train1453,Categorical,Numerical
train1454,Numerical,Categorical
train1455,Categorical,Numerical
train1456,Numerical,Numerical
train1457,Numerical,Numerical
train1458,Numerical,Numerical
train1459,Numerical,Numerical
train1460,Numerical,Numerical
train1461,Numerical,Numerical
train1462,Numerical,Numerical
train1463,Numerical,Numerical
train1464,Binary,Numerical
train1465,Categorical,Binary
train1466,Binary,Numerical
train1467,Numerical,Numerical
train1468,Numerical,Numerical
train1469,Numerical,Numerical
train1470,Numerical,Numerical
train1471,Numerical,Binary
train1472,Numerical,Numerical
train1473,Numerical,Numerical
train1474,Numerical,Numerical
train1475,Numerical,Numerical
train1476,Numerical,Categorical
train1477,Categorical,Categorical
train1478,Numerical,Numerical
train1479,Binary,Categorical
train1480,Numerical,Numerical
train1481,Numerical,Numerical
train1482,Numerical,Numerical
train1483,Numerical,Numerical
train1484,Numerical,Numerical
train1485,Binary,Numerical
train1486,Numerical,Categorical
train1487,Numerical,Categorical
train1488,Numerical,Numerical
train1489,Numerical,Categorical
train1490,Binary,Numerical
train1491,Binary,Numerical
train1492,Categorical,Numerical
train1493,Binary,Numerical
train1494,Numerical,Numerical
train1495,Numerical,Numerical
train1496,Numerical,Numerical
train1497,Binary,Numerical
train1498,Numerical,Numerical
train1499,Numerical,Numerical
train1500,Numerical,Numerical
train1501,Numerical,Categorical
train1502,Numerical,Numerical
train1503,Binary,Numerical
train1504,Numerical,Numerical
train1505,Numerical,Numerical
train1506,Numerical,Numerical
train1507,Numerical,Numerical
train1508,Numerical,Binary
train1509,Numerical,Numerical
train1510,Categorical,Numerical
train1511,Numerical,Categorical
train1512,Categorical,Categorical
train1513,Numerical,Numerical
train1514,Numerical,Numerical
train1515,Categorical,Numerical
train1516,Numerical,Numerical
train1517,Categorical,Numerical
train1518,Numerical,Numerical
train1519,Numerical,Binary
train1520,Numerical,Numerical
train1521,Numerical,Numerical
train1522,Numerical,Numerical
train1523,Numerical,Binary
train1524,Numerical,Numerical
train1525,Numerical,Numerical
train1526,Numerical,Categorical
train1527,Numerical,Categorical
train1528,Numerical,Numerical
train1529,Numerical,Binary
train1530,Numerical,Binary
train1531,Categorical,Numerical
train1532,Numerical,Numerical
train1533,Numerical,Numerical
train1534,Categorical,Numerical
train1535,Numerical,Numerical
train1536,Numerical,Numerical
train1537,Numerical,Categorical
train1538,Binary,Numerical
train1539,Numerical,Numerical
train1540,Categorical,Numerical
train1541,Categorical,Numerical
train1542,Numerical,Numerical
train1543,Numerical,Numerical
train1544,Numerical,Numerical
train1545,Numerical,Numerical
train1546,Numerical,Numerical
train1547,Numerical,Categorical
train1548,Categorical,Categorical
train1549,Numerical,Numerical
train1550,Binary,Numerical
train1551,Numerical,Numerical
train1552,Numerical,Numerical
train1553,Numerical,Numerical
train1554,Numerical,Numerical
train1555,Categorical,Binary
train1556,Numerical,Categorical
train1557,Numerical,Numerical
train1558,Numerical,Numerical
train1559,Binary,Categorical
train1560,Numerical,Numerical
train1561,Numerical,Numerical
train1562,Numerical,Numerical
train1563,Numerical,Numerical
train1564,Numerical,Numerical
train1565,Binary,Numerical
train1566,Numerical,Categorical
train1567,Numerical,Numerical
train1568,Numerical,Numerical
train1569,Numerical,Numerical
train1570,Numerical,Numerical
train1571,Numerical,Numerical
train1572,Binary,Numerical
train1573,Numerical,Numerical
train1574,Numerical,Categorical
train1575,Categorical,Categorical
train1576,Numerical,Numerical
train1577,Numerical,Binary
train1578,Categorical,Numerical
train1579,Binary,Categorical
train1580,Numerical,Numerical
train1581,Numerical,Binary
train1582,Numerical,Categorical
train1583,Numerical,Numerical
train1584,Numerical,Numerical
train1585,Numerical,Numerical
train1586,Numerical,Numerical
train1587,Numerical,Numerical
train1588,Numerical,Numerical
train1589,Numerical,Numerical
train1590,Binary,Binary
train1591,Numerical,Numerical
train1592,Numerical,Numerical
train1593,Numerical,Categorical
train1594,Numerical,Categorical
train1595,Numerical,Numerical
train1596,Binary,Numerical
train1597,Numerical,Numerical
train1598,Numerical,Numerical
train1599,Binary,Numerical
train1600,Numerical,Numerical
train1601,Numerical,Numerical
train1602,Numerical,Numerical
train1603,Categorical,Numerical
train1604,Numerical,Binary
train1605,Numerical,Numerical
train1606,Binary,Numerical
train1607,Numerical,Numerical
train1608,Numerical,Numerical
train1609,Numerical,Binary
train1610,Numerical,Numerical
train1611,Numerical,Binary
train1612,Numerical,Categorical
train1613,Numerical,Numerical
train1614,Numerical,Numerical
train1615,Numerical,Numerical
train1616,Numerical,Numerical
train1617,Numerical,Numerical
train1618,Binary,Numerical
train1619,Numerical,Binary
train1620,Categorical,Numerical
train1621,Numerical,Binary
train1622,Numerical,Numerical
train1623,Numerical,Categorical
train1624,Numerical,Categorical
train1625,Numerical,Numerical
train1626,Numerical,Numerical
train1627,Categorical,Numerical
train1628,Numerical,Binary
train1629,Numerical,Categorical
train1630,Numerical,Numerical
train1631,Categorical,Numerical
train1632,Categorical,Numerical
train1633,Categorical,Numerical
train1634,Binary,Numerical
train1635,Numerical,Numerical
train1636,Binary,Numerical
train1637,Binary,Categorical
train1638,Numerical,Numerical
train1639,Numerical,Binary
train1640,Numerical,Categorical
train1641,Numerical,Numerical
train1642,Numerical,Categorical
train1643,Numerical,Numerical
train1644,Numerical,Numerical
train1645,Numerical,Numerical
train1646,Numerical,Categorical
train1647,Numerical,Numerical
train1648,Numerical,Categorical
train1649,Categorical,Categorical
train1650,Numerical,Categorical
train1651,Categorical,Numerical
train1652,Numerical,Numerical
train1653,Numerical,Categorical
train1654,Numerical,Numerical
train1655,Categorical,Binary
train1656,Numerical,Numerical
train1657,Binary,Numerical
train1658,Numerical,Numerical
train1659,Binary,Binary
train1660,Numerical,Numerical
train1661,Numerical,Numerical
train1662,Numerical,Numerical
train1663,Numerical,Categorical
train1664,Numerical,Numerical
train1665,Numerical,Numerical
train1666,Numerical,Numerical
train1667,Numerical,Numerical
train1668,Numerical,Binary
train1669,Numerical,Numerical
train1670,Numerical,Numerical
train1671,Categorical,Numerical
train1672,Numerical,Numerical
train1673,Numerical,Binary
train1674,Numerical,Numerical
train1675,Categorical,Numerical
train1676,Categorical,Numerical
train1677,Numerical,Numerical
train1678,Categorical,Numerical
train1679,Categorical,Numerical
train1680,Numerical,Numerical
train1681,Numerical,Numerical
train1682,Numerical,Numerical
train1683,Numerical,Binary
train1684,Categorical,Binary
train1685,Numerical,Numerical
train1686,Numerical,Numerical
train1687,Categorical,Numerical
train1688,Numerical,Numerical
train1689,Numerical,Numerical
train1690,Numerical,Binary
train1691,Numerical,Numerical
train1692,Numerical,Numerical
train1693,Numerical,Binary
train1694,Numerical,Binary
train1695,Numerical,Numerical
train1696,Numerical,Categorical
train1697,Numerical,Numerical
train1698,Numerical,Numerical
train1699,Numerical,Numerical
train1700,Numerical,Numerical
train1701,Numerical,Numerical
train1702,Numerical,Binary
train1703,Numerical,Numerical
train1704,Numerical,Numerical
train1705,Categorical,Numerical
train1706,Categorical,Categorical
train1707,Numerical,Numerical
train1708,Categorical,Numerical
train1709,Numerical,Numerical
train1710,Numerical,Numerical
train1711,Numerical,Numerical
train1712,Categorical,Numerical
train1713,Numerical,Binary
train1714,Numerical,Numerical
train1715,Numerical,Numerical
train1716,Numerical,Binary
train1717,Numerical,Numerical
train1718,Numerical,Categorical
train1719,Binary,Categorical
train1720,Numerical,Numerical
train1721,Numerical,Numerical
train1722,Categorical,Numerical
train1723,Categorical,Numerical
train1724,Numerical,Numerical
train1725,Numerical,Binary
train1726,Numerical,Numerical
train1727,Binary,Numerical
train1728,Numerical,Binary
train1729,Numerical,Numerical
train1730,Categorical,Numerical
train1731,Numerical,Numerical
train1732,Numerical,Binary
train1733,Categorical,Binary
train1734,Numerical,Numerical
train1735,Numerical,Numerical
train1736,Numerical,Numerical
train1737,Numerical,Numerical
train1738,Numerical,Binary
train1739,Numerical,Numerical
train1740,Numerical,Numerical
train1741,Numerical,Numerical
train1742,Numerical,Binary
train1743,Numerical,Categorical
train1744,Categorical,Numerical
train1745,Categorical,Categorical
train1746,Numerical,Categorical
train1747,Numerical,Categorical
train1748,Numerical,Numerical
train1749,Numerical,Numerical
train1750,Numerical,Numerical
train1751,Numerical,Binary
train1752,Numerical,Numerical
train1753,Binary,Numerical
train1754,Numerical,Numerical
train1755,Numerical,Binary
train1756,Binary,Numerical
train1757,Numerical,Binary
train1758,Binary,Numerical
train1759,Numerical,Numerical
train1760,Numerical,Numerical
train1761,Numerical,Binary
train1762,Categorical,Binary
train1763,Numerical,Numerical
train1764,Numerical,Numerical
train1765,Numerical,Numerical
train1766,Binary,Numerical
train1767,Numerical,Numerical
train1768,Numerical,Numerical
train1769,Numerical,Numerical
train1770,Numerical,Categorical
train1771,Numerical,Binary
train1772,Numerical,Numerical
train1773,Numerical,Numerical
train1774,Numerical,Binary
train1775,Numerical,Numerical
train1776,Numerical,Numerical
train1777,Numerical,Numerical
train1778,Categorical,Numerical
train1779,Numerical,Numerical
train1780,Numerical,Numerical
train1781,Numerical,Numerical
train1782,Numerical,Categorical
train1783,Numerical,Numerical
train1784,Binary,Categorical
train1785,Numerical,Numerical
train1786,Numerical,Numerical
train1787,Numerical,Numerical
train1788,Numerical,Numerical
train1789,Numerical,Numerical
train1790,Numerical,Numerical
train1791,Binary,Binary
train1792,Numerical,Numerical
train1793,Numerical,Numerical
train1794,Numerical,Numerical
train1795,Categorical,Numerical
train1796,Numerical,Numerical
train1797,Numerical,Numerical
train1798,Numerical,Numerical
train1799,Numerical,Numerical
train1800,Categorical,Numerical
train1801,Binary,Categorical
train1802,Numerical,Numerical
train1803,Numerical,Numerical
train1804,Categorical,Numerical
train1805,Binary,Numerical
train1806,Numerical,Numerical
train1807,Numerical,Binary
train1808,Numerical,Numerical
train1809,Numerical,Binary
train1810,Categorical,Numerical
train1811,Numerical,Numerical
train1812,Numerical,Numerical
train1813,Categorical,Numerical
train1814,Numerical,Numerical
train1815,Numerical,Categorical
train1816,Numerical,Numerical
train1817,Numerical,Numerical
train1818,Numerical,Numerical
train1819,Numerical,Numerical
train1820,Numerical,Numerical
train1821,Categorical,Binary
train1822,Numerical,Categorical
train1823,Numerical,Numerical
train1824,Numerical,Numerical
train1825,Numerical,Binary
train1826,Numerical,Numerical
train1827,Numerical,Numerical
train1828,Numerical,Numerical
train1829,Numerical,Numerical
train1830,Categorical,Numerical
train1831,Numerical,Numerical
train1832,Numerical,Numerical
train1833,Categorical,Numerical
train1834,Numerical,Numerical
train1835,Numerical,Numerical
train1836,Numerical,Numerical
train1837,Categorical,Numerical
train1838,Numerical,Categorical
train1839,Numerical,Numerical
train1840,Categorical,Numerical
train1841,Numerical,Numerical
train1842,Numerical,Numerical
train1843,Numerical,Numerical
train1844,Numerical,Numerical
train1845,Binary,Numerical
train1846,Numerical,Numerical
train1847,Binary,Numerical
train1848,Numerical,Numerical
train1849,Numerical,Categorical
train1850,Binary,Numerical
train1851,Categorical,Numerical
train1852,Numerical,Numerical
train1853,Numerical,Numerical
train1854,Binary,Categorical
train1855,Numerical,Numerical
train1856,Categorical,Binary
train1857,Numerical,Binary
train1858,Numerical,Numerical
train1859,Numerical,Numerical
train1860,Categorical,Numerical
train1861,Numerical,Numerical
train1862,Numerical,Numerical
train1863,Numerical,Numerical
train1864,Numerical,Binary
train1865,Numerical,Numerical
train1866,Numerical,Numerical
train1867,Categorical,Binary
train1868,Numerical,Numerical
train1869,Numerical,Binary
train1870,Binary,Numerical
train1871,Categorical,Binary
train1872,Numerical,Binary
train1873,Binary,Binary
train1874,Numerical,Numerical
train1875,Numerical,Numerical
train1876,Numerical,Categorical
train1877,Numerical,Numerical
train1878,Numerical,Numerical
train1879,Numerical,Categorical
train1880,Numerical,Numerical
train1881,Numerical,Numerical
train1882,Categorical,Numerical
train1883,Binary,Numerical
train1884,Categorical,Numerical
train1885,Numerical,Numerical
train1886,Numerical,Binary
train1887,Categorical,Binary
train1888,Numerical,Numerical
train1889,Numerical,Numerical
train1890,Numerical,Numerical
train1891,Numerical,Numerical
train1892,Binary,Binary
train1893,Categorical,Numerical
train1894,Numerical,Numerical
train1895,Numerical,Numerical
train1896,Numerical,Numerical
train1897,Categorical,Numerical
train1898,Numerical,Numerical
train1899,Binary,Categorical
train1900,Numerical,Numerical
train1901,Categorical,Numerical
train1902,Numerical,Numerical
train1903,Numerical,Numerical
train1904,Numerical,Numerical
train1905,Numerical,Categorical
train1906,Numerical,Numerical
train1907,Numerical,Numerical
train1908,Numerical,Numerical
train1909,Categorical,Numerical
train1910,Numerical,Numerical
train1911,Binary,Numerical
train1912,Binary,Numerical
train1913,Numerical,Categorical
train1914,Numerical,Numerical
train1915,Numerical,Numerical
train1916,Numerical,Binary
train1917,Categorical,Categorical
train1918,Numerical,Binary
train1919,Numerical,Numerical
train1920,Numerical,Numerical
train1921,Numerical,Numerical
train1922,Numerical,Numerical
train1923,Numerical,Numerical
train1924,Numerical,Numerical
train1925,Numerical,Numerical
train1926,Numerical,Numerical
train1927,Categorical,Numerical
train1928,Binary,Numerical
train1929,Numerical,Numerical
train1930,Binary,Numerical
train1931,Numerical,Numerical
train1932,Numerical,Numerical
train1933,Numerical,Numerical
train1934,Numerical,Binary
train1935,Numerical,Binary
train1936,Numerical,Binary
train1937,Binary,Numerical
train1938,Numerical,Categorical
train1939,Numerical,Numerical
train1940,Numerical,Numerical
train1941,Numerical,Numerical
train1942,Numerical,Numerical
train1943,Numerical,Categorical
train1944,Numerical,Categorical
train1945,Categorical,Numerical
train1946,Numerical,Numerical
train1947,Numerical,Categorical
train1948,Numerical,Numerical
train1949,Numerical,Numerical
train1950,Numerical,Binary
train1951,Numerical,Numerical
train1952,Numerical,Binary
train1953,Numerical,Numerical
train1954,Numerical,Numerical
train1955,Numerical,Numerical
train1956,Numerical,Numerical
train1957,Numerical,Numerical
train1958,Numerical,Numerical
train1959,Numerical,Binary
train1960,Binary,Numerical
train1961,Numerical,Numerical
train1962,Binary,Numerical
train1963,Numerical,Binary
train1964,Numerical,Binary
train1965,Binary,Numerical
train1966,Numerical,Numerical
train1967,Numerical,Numerical
train1968,Binary,Numerical
train1969,Numerical,Numerical
train1970,Binary,Binary
train1971,Binary,Numerical
train1972,Categorical,Categorical
train1973,Numerical,Numerical
train1974,Categorical,Numerical
train1975,Numerical,Numerical
train1976,Binary,Numerical
train1977,Numerical,Numerical
train1978,Binary,Numerical
train1979,Numerical,Numerical
train1980,Numerical,Binary
train1981,Binary,Numerical
train1982,Numerical,Binary
train1983,Categorical,Numerical
train1984,Numerical,Numerical
train1985,Numerical,Categorical
train1986,Numerical,Binary
train1987,Numerical,Numerical
train1988,Numerical,Numerical
train1989,Numerical,Numerical
train1990,Numerical,Numerical
train1991,Categorical,Numerical
train1992,Categorical,Categorical
train1993,Numerical,Numerical
train1994,Numerical,Numerical
train1995,Categorical,Numerical
train1996,Numerical,Numerical
train1997,Numerical,Numerical
train1998,Categorical,Binary
train1999,Numerical,Numerical
train2000,Numerical,Numerical
train2001,Numerical,Numerical
train2002,Binary,Categorical
train2003,Numerical,Numerical
train2004,Binary,Numerical
train2005,Numerical,Numerical
train2006,Categorical,Numerical
train2007,Numerical,Numerical
train2008,Numerical,Numerical
train2009,Numerical,Numerical
train2010,Numerical,Numerical
train2011,Numerical,Binary
train2012,Numerical,Binary
train2013,Numerical,Numerical
train2014,Numerical,Numerical
train2015,Numerical,Numerical
train2016,Numerical,Numerical
train2017,Numerical,Binary
train2018,Binary,Numerical
train2019,Numerical,Categorical
train2020,Numerical,Numerical
train2021,Numerical,Numerical
train2022,Numerical,Numerical
train2023,Numerical,Categorical
train2024,Numerical,Numerical
train2025,Categorical,Numerical
train2026,Binary,Numerical
train2027,Numerical,Categorical
train2028,Binary,Numerical
train2029,Binary,Numerical
train2030,Numerical,Numerical
train2031,Binary,Numerical
train2032,Numerical,Numerical
train2033,Numerical,Numerical
train2034,Numerical,Numerical
train2035,Numerical,Numerical
train2036,Numerical,Binary
train2037,Numerical,Numerical
train2038,Numerical,Binary
train2039,Numerical,Binary
train2040,Binary,Numerical
train2041,Numerical,Numerical
train2042,Categorical,Binary
train2043,Numerical,Binary
train2044,Numerical,Binary
train2045,Numerical,Numerical
train2046,Numerical,Numerical
train2047,Categorical,Categorical
train2048,Categorical,Binary
train2049,Binary,Categorical
train2050,Categorical,Numerical
train2051,Numerical,Numerical
train2052,Numerical,Binary
train2053,Binary,Numerical
train2054,Binary,Numerical
train2055,Numerical,Categorical
train2056,Numerical,Numerical
train2057,Numerical,Numerical
train2058,Numerical,Numerical
train2059,Categorical,Numerical
train2060,Numerical,Numerical
train2061,Categorical,Numerical
train2062,Numerical,Categorical
train2063,Numerical,Numerical
train2064,Numerical,Numerical
train2065,Numerical,Categorical
train2066,Numerical,Numerical
train2067,Numerical,Numerical
train2068,Numerical,Numerical
train2069,Numerical,Numerical
train2070,Numerical,Numerical
train2071,Numerical,Numerical
train2072,Numerical,Numerical
train2073,Numerical,Numerical
train2074,Numerical,Numerical
train2075,Numerical,Numerical
train2076,Numerical,Numerical
train2077,Numerical,Numerical
train2078,Numerical,Numerical
train2079,Numerical,Numerical
train2080,Numerical,Numerical
train2081,Numerical,Numerical
train2082,Numerical,Numerical
train2083,Numerical,Numerical
train2084,Numerical,Numerical
train2085,Numerical,Categorical
train2086,Binary,Numerical
train2087,Numerical,Numerical
train2088,Numerical,Numerical
train2089,Numerical,Numerical
train2090,Numerical,Numerical
train2091,Categorical,Numerical
train2092,Numerical,Binary
train2093,Numerical,Binary
train2094,Binary,Numerical
train2095,Numerical,Categorical
train2096,Numerical,Numerical
train2097,Numerical,Numerical
train2098,Numerical,Binary
train2099,Numerical,Numerical
train2100,Numerical,Numerical
train2101,Numerical,Numerical
train2102,Numerical,Numerical
