SampleID,Target [1 for A->B; -1 for B->A and 0otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train1803,0,3
train1804,0,4
train1805,1,1
train1806,0,4
train1807,0,3
train1808,-1,2
train1809,1,1
train1810,1,1
train1811,1,1
train1812,-1,2
train1813,0,4
train1814,-1,2
train1815,0,4
train1816,0,4
train1817,1,1
train1818,-1,2
train1819,1,1
train1820,0,3
train1821,0,3
train1822,0,3
train1823,1,1
train1824,0,3
train1825,-1,2
train1826,0,3
train1827,1,1
train1828,1,1
train1829,0,3
train1830,1,1
train1831,0,3
train1832,-1,2
train1833,1,1
train1834,-1,2
train1835,0,4
train1836,0,3
train1837,0,3
train1838,-1,2
train1839,1,1
train1840,1,1
train1841,-1,2
train1842,1,1
train1843,-1,2
train1844,0,4
train1845,0,4
train1846,1,1
train1847,-1,2
train1848,0,3
train1849,1,1
train1850,1,1
train1851,-1,2
train1852,-1,2
train1853,0,4
train1854,-1,2
train1855,0,4
train1856,0,4
train1857,1,1
train1858,0,4
train1859,0,3
train1860,-1,2
train1861,0,4
train1862,0,3
train1863,0,3
train1864,0,3
train1865,1,1
train1866,0,3
train1867,0,4
train1868,1,1
train1869,1,1
train1870,1,1
train1871,-1,2
train1872,0,3
train1873,0,4
train1874,0,3
train1875,-1,2
train1876,0,4
train1877,-1,2
train1878,0,4
train1879,-1,2
train1880,-1,2
train1881,1,1
train1882,1,1
train1883,-1,2
train1884,0,3
train1885,0,3
train1886,0,4
train1887,1,1
train1888,-1,2
train1889,0,4
train1890,-1,2
train1891,0,3
train1892,-1,2
train1893,-1,2
train1894,0,4
train1895,0,4
train1896,-1,2
train1897,1,1
train1898,-1,2
train1899,0,3
train1900,0,3
train1901,1,1
train1902,1,1
train1903,0,3
train1904,-1,2
train1905,0,3
train1906,0,4
train1907,-1,2
train1908,0,4
train1909,0,3
train1910,1,1
train1911,0,4
train1912,1,1
train1913,0,3
train1914,0,4
train1915,0,4
train1916,0,3
train1917,1,1
train1918,0,3
train1919,-1,2
train1920,0,4
train1921,0,4
train1922,0,4
train1923,0,4
train1924,0,4
train1925,-1,2
train1926,0,4
train1927,0,3
train1928,0,4
train1929,0,4
train1930,1,1
train1931,-1,2
train1932,-1,2
train1933,-1,2
train1934,1,1
train1935,1,1
train1936,-1,2
train1937,-1,2
train1938,1,1
train1939,0,3
train1940,0,3
train1941,0,4
train1942,0,3
train1943,0,4
train1944,0,3
train1945,0,3
train1946,0,3
train1947,0,4
train1948,1,1
train1949,0,3
train1950,0,3
train1951,-1,2
train1952,0,3
train1953,0,4
train1954,0,4
train1955,0,4
train1956,0,4
train1957,-1,2
train1958,-1,2
train1959,0,3
train1960,-1,2
train1961,-1,2
train1962,0,3
train1963,1,1
train1964,1,1
train1965,1,1
train1966,0,3
train1967,1,1
train1968,0,4
train1969,1,1
train1970,1,1
train1971,1,1
train1972,0,3
train1973,0,4
train1974,0,3
train1975,0,3
train1976,0,3
train1977,0,3
train1978,-1,2
train1979,-1,2
train1980,-1,2
train1981,0,3
train1982,1,1
train1983,1,1
train1984,0,3
train1985,1,1
train1986,1,1
train1987,-1,2
train1988,1,1
train1989,-1,2
train1990,-1,2
train1991,1,1
train1992,0,4
train1993,0,3
train1994,-1,2
train1995,1,1
train1996,0,4
train1997,0,4
train1998,-1,2
train1999,0,3
train2000,0,4
train2001,-1,2
train2002,0,3
train2003,-1,2
train2004,0,3
train2005,-1,2
train2006,1,1
train2007,0,3
train2008,-1,2
train2009,-1,2
train2010,1,1
train2011,0,4
train2012,-1,2
train2013,0,4
train2014,-1,2
train2015,0,3
train2016,0,3
train2017,0,3
train2018,1,1
train2019,0,3
train2020,0,4
train2021,-1,2
train2022,1,1
train2023,-1,2
train2024,0,4
train2025,0,4
train2026,0,3
train2027,-1,2
train2028,0,3
train2029,1,1
train2030,0,3
train2031,1,1
train2032,0,4
train2033,0,4
train2034,0,4
train2035,1,1
train2036,1,1
train2037,1,1
train2038,0,3
train2039,-1,2
train2040,-1,2
train2041,1,1
train2042,-1,2
train2043,0,3
train2044,0,3
train2045,0,3
train2046,1,1
train2047,0,3
train2048,0,4
train2049,0,4
train2050,-1,2
train2051,1,1
train2052,1,1
train2053,-1,2
train2054,0,4
train2055,0,4
train2056,0,4
train2057,0,3
train2058,0,3
train2059,0,4
train2060,-1,2
train2061,0,4
train2062,0,3
train2063,-1,2
train2064,1,1
train2065,1,1
train2066,0,4
train2067,0,3
train2068,0,3
train2069,0,3
train2070,0,3
train2071,0,4
train2072,1,1
train2073,1,1
train2074,-1,2
train2075,0,3
train2076,0,4
train2077,0,4
train2078,0,3
train2079,0,4
train2080,1,1
train2081,0,4
train2082,-1,2
train2083,1,1
train2084,-1,2
train2085,0,4
train2086,-1,2
train2087,-1,2
train2088,0,3
train2089,-1,2
train2090,0,3
train2091,1,1
train2092,1,1
train2093,-1,2
train2094,-1,2
train2095,1,1
train2096,0,4
train2097,0,4
train2098,0,3
train2099,1,1
train2100,1,1
train2101,0,3
train2102,0,3
train2103,0,3
train2104,1,1
train2105,-1,2
train2106,-1,2
train2107,0,4
train2108,1,1
train2109,0,3
train2110,0,4
train2111,-1,2
train2112,1,1
train2113,0,3
train2114,0,3
train2115,-1,2
train2116,0,4
train2117,0,4
train2118,0,3
train2119,1,1
train2120,1,1
train2121,1,1
train2122,1,1
train2123,0,4
train2124,-1,2
train2125,0,4
train2126,-1,2
train2127,1,1
train2128,1,1
train2129,-1,2
train2130,0,4
train2131,0,4
train2132,1,1
train2133,-1,2
train2134,0,4
train2135,0,3
train2136,0,4
train2137,0,4
train2138,0,4
train2139,0,3
train2140,0,4
train2141,-1,2
train2142,0,3
train2143,-1,2
train2144,1,1
train2145,1,1
train2146,0,3
train2147,1,1
train2148,0,4
train2149,0,4
train2150,-1,2
train2151,-1,2
train2152,1,1
train2153,0,3
train2154,1,1
train2155,-1,2
train2156,0,3
train2157,0,4
train2158,-1,2
train2159,1,1
train2160,-1,2
train2161,0,3
train2162,0,4
train2163,0,3
train2164,-1,2
train2165,-1,2
train2166,0,4
train2167,0,3
train2168,0,4
train2169,0,3
train2170,0,4
train2171,1,1
train2172,-1,2
train2173,1,1
train2174,0,4
train2175,0,3
train2176,0,3
train2177,1,1
train2178,0,4
train2179,-1,2
train2180,1,1
train2181,1,1
train2182,0,3
train2183,-1,2
train2184,0,4
train2185,-1,2
train2186,1,1
train2187,1,1
train2188,0,4
train2189,0,4
train2190,0,4
train2191,0,4
train2192,0,4
train2193,0,3
train2194,0,3
train2195,0,3
train2196,1,1
train2197,0,3
train2198,0,4
train2199,-1,2
train2200,1,1
train2201,-1,2
train2202,0,4
train2203,1,1
train2204,0,3
train2205,1,1
train2206,1,1
train2207,1,1
train2208,0,4
train2209,0,4
train2210,0,4
train2211,1,1
train2212,1,1
train2213,-1,2
train2214,-1,2
train2215,0,3
train2216,0,4
train2217,0,3
train2218,0,4
train2219,1,1
train2220,0,3
train2221,0,3
train2222,1,1
train2223,0,3
train2224,0,3
train2225,1,1
train2226,0,3
train2227,0,3
train2228,-1,2
train2229,-1,2
train2230,-1,2
train2231,1,1
train2232,0,3
train2233,0,3
train2234,0,4
train2235,0,3
train2236,-1,2
train2237,0,3
train2238,-1,2
train2239,0,4
train2240,0,4
train2241,0,3
train2242,0,3
train2243,-1,2
train2244,-1,2
train2245,0,3
train2246,-1,2
train2247,0,3
train2248,-1,2
train2249,0,4
train2250,1,1
train2251,1,1
train2252,0,4
train2253,0,3
train2254,0,4
train2255,1,1
train2256,-1,2
train2257,0,4
train2258,0,3
train2259,0,3
train2260,0,4
train2261,0,3
train2262,-1,2
train2263,1,1
train2264,0,3
train2265,1,1
train2266,1,1
train2267,0,4
train2268,1,1
train2269,1,1
train2270,0,3
train2271,0,4
train2272,-1,2
train2273,-1,2
train2274,-1,2
train2275,-1,2
train2276,1,1
train2277,0,3
train2278,0,3
train2279,0,4
train2280,-1,2
train2281,1,1
train2282,0,4
train2283,0,3
train2284,0,3
train2285,-1,2
train2286,0,4
train2287,0,3
train2288,-1,2
train2289,1,1
train2290,0,3
train2291,1,1
train2292,0,4
train2293,1,1
train2294,-1,2
train2295,0,3
train2296,0,4
train2297,0,3
train2298,0,4
train2299,-1,2
train2300,1,1
train2301,1,1
train2302,1,1
train2303,0,3
train2304,-1,2
train2305,0,3
train2306,0,4
train2307,0,4
train2308,0,4
train2309,0,4
train2310,-1,2
train2311,-1,2
train2312,0,3
train2313,0,4
train2314,-1,2
train2315,0,4
train2316,1,1
train2317,1,1
train2318,1,1
train2319,-1,2
train2320,1,1
train2321,0,3
train2322,1,1
train2323,-1,2
train2324,0,3
train2325,1,1
train2326,0,4
train2327,1,1
train2328,1,1
train2329,-1,2
train2330,0,4
train2331,0,4
train2332,0,4
train2333,0,3
train2334,1,1
train2335,0,4
train2336,0,3
train2337,0,4
train2338,1,1
train2339,0,3
train2340,1,1
train2341,-1,2
train2342,0,3
train2343,-1,2
train2344,0,3
train2345,1,1
train2346,0,3
train2347,-1,2
train2348,0,4
train2349,-1,2
train2350,0,3
train2351,1,1
train2352,0,3
train2353,0,4
train2354,1,1
train2355,0,4
train2356,0,4
train2357,-1,2
train2358,0,4
train2359,-1,2
train2360,1,1
train2361,1,1
train2362,1,1
train2363,-1,2
train2364,1,1
train2365,-1,2
train2366,0,3
train2367,1,1
train2368,0,3
train2369,1,1
train2370,0,4
train2371,0,4
train2372,0,4
train2373,-1,2
train2374,1,1
train2375,1,1
train2376,1,1
train2377,-1,2
train2378,0,4
train2379,0,4
train2380,0,4
train2381,0,3
train2382,0,4
train2383,0,4
train2384,1,1
train2385,-1,2
train2386,-1,2
train2387,1,1
train2388,-1,2
train2389,1,1
train2390,0,3
train2391,0,4
train2392,0,3
train2393,0,3
train2394,1,1
train2395,0,3
train2396,1,1
train2397,0,3
train2398,0,3
train2399,1,1
train2400,1,1
train2401,0,4
train2402,0,4
train2403,0,3
train2404,0,4
train2405,0,3
train2406,1,1
train2407,0,4
train2408,1,1
train2409,0,3
train2410,0,3
train2411,-1,2
train2412,0,4
train2413,0,3
train2414,-1,2
train2415,-1,2
train2416,1,1
train2417,0,3
train2418,1,1
train2419,0,4
train2420,0,4
train2421,-1,2
train2422,0,4
train2423,1,1
train2424,0,4
train2425,1,1
train2426,1,1
train2427,0,4
train2428,0,3
train2429,0,4
train2430,0,3
train2431,1,1
train2432,1,1
train2433,0,3
train2434,1,1
train2435,1,1
train2436,0,4
train2437,1,1
train2438,-1,2
train2439,0,3
train2440,0,3
train2441,0,3
train2442,1,1
train2443,1,1
train2444,0,3
train2445,0,3
train2446,0,3
train2447,0,4
train2448,0,3
train2449,0,3
train2450,-1,2
train2451,1,1
train2452,1,1
train2453,1,1
train2454,0,4
train2455,0,3
train2456,-1,2
train2457,0,3
train2458,1,1
train2459,0,4
train2460,-1,2
train2461,-1,2
train2462,0,4
train2463,1,1
train2464,-1,2
train2465,1,1
train2466,1,1
train2467,0,4
train2468,0,4
train2469,-1,2
train2470,0,3
train2471,1,1
train2472,1,1
train2473,1,1
train2474,0,3
train2475,0,4
train2476,0,4
train2477,0,3
train2478,1,1
train2479,0,3
train2480,-1,2
train2481,1,1
train2482,1,1
train2483,0,3
train2484,0,4
train2485,-1,2
train2486,1,1
train2487,1,1
train2488,1,1
train2489,-1,2
train2490,-1,2
train2491,0,3
train2492,0,3
train2493,-1,2
train2494,1,1
train2495,1,1
train2496,0,4
train2497,0,3
train2498,0,3
train2499,0,3
train2500,-1,2
train2501,-1,2
train2502,-1,2
train2503,1,1
train2504,0,3
train2505,-1,2
train2506,0,4
train2507,1,1
train2508,0,3
train2509,0,4
train2510,0,4
train2511,-1,2
train2512,0,4
train2513,-1,2
train2514,1,1
train2515,0,4
train2516,0,4
train2517,0,3
train2518,1,1
train2519,0,4
train2520,0,3
train2521,0,3
train2522,0,4
train2523,-1,2
train2524,0,3
train2525,-1,2
train2526,0,3
train2527,1,1
train2528,-1,2
train2529,-1,2
train2530,-1,2
train2531,0,3
train2532,0,3
train2533,0,3
train2534,0,3
train2535,0,3
train2536,1,1
train2537,0,3
train2538,0,3
train2539,0,4
train2540,-1,2
train2541,0,4
train2542,-1,2
train2543,0,3
train2544,1,1
train2545,1,1
train2546,0,4
train2547,0,4
train2548,1,1
train2549,1,1
train2550,-1,2
train2551,0,4
train2552,0,4
train2553,-1,2
train2554,0,3
train2555,-1,2
train2556,0,4
train2557,-1,2
train2558,-1,2
train2559,0,3
train2560,1,1
train2561,-1,2
train2562,0,4
train2563,0,3
train2564,-1,2
train2565,1,1
train2566,-1,2
train2567,0,4
train2568,1,1
train2569,0,4
train2570,0,3
train2571,0,4
train2572,0,4
train2573,0,4
train2574,1,1
train2575,1,1
train2576,1,1
train2577,0,3
train2578,1,1
train2579,0,4
train2580,0,3
train2581,1,1
train2582,0,4
train2583,-1,2
train2584,1,1
train2585,0,4
train2586,0,4
train2587,1,1
train2588,-1,2
train2589,1,1
train2590,0,4
train2591,-1,2
train2592,1,1
train2593,1,1
train2594,0,3
train2595,-1,2
train2596,1,1
train2597,0,3
train2598,0,3
train2599,0,4
train2600,0,3
train2601,0,4
train2602,1,1
train2603,-1,2
train2604,-1,2
train2605,-1,2
train2606,1,1
train2607,1,1
train2608,-1,2
train2609,-1,2
train2610,0,4
train2611,0,3
train2612,1,1
train2613,0,3
train2614,-1,2
train2615,-1,2
train2616,-1,2
train2617,1,1
train2618,0,3
train2619,0,4
train2620,-1,2
train2621,1,1
train2622,0,3
train2623,0,4
train2624,0,3
train2625,-1,2
train2626,0,4
train2627,0,4
train2628,1,1
train2629,0,4
train2630,0,3
train2631,-1,2
train2632,0,4
train2633,0,3
train2634,-1,2
train2635,0,3
train2636,0,3
train2637,-1,2
train2638,0,3
train2639,0,3
train2640,1,1
train2641,-1,2
train2642,-1,2
train2643,0,3
train2644,1,1
train2645,-1,2
train2646,-1,2
train2647,1,1
train2648,0,4
train2649,0,3
train2650,-1,2
train2651,1,1
train2652,1,1
train2653,0,3
train2654,0,4
train2655,0,3
train2656,0,4
train2657,-1,2
train2658,-1,2
train2659,1,1
train2660,1,1
train2661,0,3
train2662,0,3
train2663,0,3
train2664,0,3
train2665,1,1
train2666,-1,2
train2667,1,1
train2668,-1,2
train2669,-1,2
train2670,0,4
train2671,0,3
train2672,1,1
train2673,-1,2
train2674,0,3
train2675,0,4
train2676,0,3
train2677,-1,2
train2678,0,4
train2679,0,3
train2680,1,1
train2681,0,3
train2682,-1,2
train2683,0,3
train2684,0,3
train2685,-1,2
train2686,-1,2
train2687,-1,2
train2688,1,1
train2689,1,1
train2690,0,4
train2691,0,4
train2692,0,3
train2693,0,3
train2694,0,3
train2695,-1,2
train2696,0,4
train2697,0,4
train2698,-1,2
train2699,0,4
train2700,-1,2
train2701,-1,2
train2702,-1,2
train2703,0,3
train2704,-1,2
train2705,0,3
train2706,0,3
train2707,0,3
train2708,1,1
train2709,-1,2
train2710,-1,2
train2711,0,4
train2712,0,4
train2713,0,3
train2714,1,1
train2715,-1,2
train2716,0,4
train2717,1,1
train2718,-1,2
train2719,-1,2
train2720,0,3
train2721,-1,2
train2722,0,4
train2723,0,3
train2724,0,4
train2725,1,1
train2726,0,4
train2727,1,1
train2728,-1,2
train2729,0,3
train2730,0,4
train2731,1,1
train2732,1,1
train2733,0,4
train2734,0,4
train2735,0,3
train2736,0,4
train2737,0,4
train2738,-1,2
train2739,1,1
train2740,0,4
train2741,-1,2
train2742,-1,2
train2743,0,4
train2744,-1,2
train2745,1,1
train2746,0,4
train2747,0,3
train2748,0,3
train2749,0,4
train2750,0,3
train2751,1,1
train2752,0,3
train2753,-1,2
train2754,0,4
train2755,0,4
train2756,0,4
train2757,0,4
train2758,-1,2
train2759,1,1
train2760,1,1
train2761,0,4
train2762,1,1
train2763,1,1
train2764,1,1
train2765,-1,2
train2766,0,3
train2767,0,3
train2768,0,4
train2769,0,4
train2770,0,4
train2771,-1,2
train2772,-1,2
train2773,0,4
train2774,0,3
train2775,0,3
train2776,0,3
train2777,1,1
train2778,-1,2
train2779,0,4
train2780,0,4
train2781,-1,2
train2782,0,4
train2783,0,4
train2784,1,1
train2785,0,3
train2786,0,4
train2787,0,4
train2788,-1,2
train2789,1,1
train2790,1,1
train2791,-1,2
train2792,0,3
train2793,1,1
train2794,1,1
train2795,0,3
train2796,-1,2
train2797,0,4
train2798,0,4
train2799,-1,2
train2800,1,1
train2801,0,3
train2802,0,4
train2803,0,4
train2804,1,1
train2805,1,1
train2806,0,4
train2807,1,1
train2808,1,1
train2809,1,1
train2810,1,1
train2811,0,3
train2812,0,3
train2813,-1,2
train2814,1,1
train2815,1,1
train2816,-1,2
train2817,0,4
train2818,-1,2
train2819,0,4
train2820,1,1
train2821,0,4
train2822,-1,2
train2823,-1,2
train2824,1,1
train2825,1,1
train2826,-1,2
train2827,0,3
train2828,1,1
train2829,1,1
train2830,1,1
train2831,1,1
train2832,0,4
train2833,0,3
train2834,-1,2
train2835,0,3
train2836,0,4
train2837,0,4
train2838,1,1
train2839,-1,2
train2840,0,3
train2841,0,3
train2842,-1,2
train2843,0,4
train2844,-1,2
train2845,0,4
train2846,0,3
train2847,0,4
train2848,-1,2
train2849,0,3
train2850,-1,2
train2851,0,4
train2852,-1,2
train2853,0,3
train2854,0,3
train2855,0,4
train2856,1,1
train2857,0,4
train2858,1,1
train2859,1,1
train2860,1,1
train2861,-1,2
train2862,0,3
train2863,-1,2
train2864,-1,2
train2865,-1,2
train2866,1,1
train2867,-1,2
train2868,0,4
train2869,-1,2
train2870,0,4
train2871,0,3
train2872,0,4
train2873,0,4
train2874,0,3
train2875,0,3
train2876,1,1
train2877,-1,2
train2878,0,3
train2879,1,1
train2880,-1,2
train2881,1,1
train2882,1,1
train2883,0,4
train2884,-1,2
train2885,-1,2
train2886,1,1
train2887,0,4
train2888,1,1
train2889,0,4
train2890,0,4
train2891,0,4
train2892,1,1
train2893,0,3
train2894,1,1
train2895,0,4
train2896,1,1
train2897,0,4
train2898,1,1
train2899,0,4
train2900,0,3
train2901,-1,2
train2902,0,3
train2903,0,3
train2904,1,1
train2905,0,3
train2906,1,1
train2907,0,3
train2908,0,4
train2909,1,1
train2910,-1,2
train2911,-1,2
train2912,0,4
train2913,0,4
train2914,0,3
train2915,-1,2
train2916,1,1
train2917,-1,2
train2918,-1,2
train2919,0,4
train2920,-1,2
train2921,0,4
train2922,0,4
train2923,0,4
train2924,-1,2
train2925,-1,2
train2926,-1,2
train2927,1,1
train2928,0,4
train2929,0,4
train2930,0,3
train2931,-1,2
train2932,0,3
train2933,-1,2
train2934,-1,2
train2935,0,3
train2936,1,1
train2937,0,3
train2938,1,1
train2939,1,1
train2940,0,4
train2941,0,4
train2942,-1,2
train2943,-1,2
train2944,0,4
train2945,0,3
train2946,1,1
train2947,0,3
train2948,-1,2
train2949,1,1
train2950,1,1
train2951,0,4
train2952,0,3
train2953,1,1
train2954,0,4
train2955,1,1
train2956,0,4
train2957,0,4
train2958,0,4
train2959,-1,2
train2960,0,3
train2961,0,3
train2962,1,1
train2963,0,3
train2964,0,3
train2965,0,4
train2966,0,4
train2967,0,3
train2968,1,1
train2969,-1,2
train2970,0,4
train2971,0,3
train2972,0,3
train2973,0,3
train2974,-1,2
train2975,0,3
train2976,0,3
train2977,-1,2
train2978,-1,2
train2979,0,3
train2980,0,3
train2981,1,1
train2982,0,3
train2983,1,1
train2984,-1,2
train2985,-1,2
train2986,0,3
train2987,0,3
train2988,-1,2
train2989,0,3
train2990,0,3
train2991,0,3
train2992,0,4
train2993,0,4
train2994,0,4
train2995,0,3
train2996,-1,2
train2997,1,1
train2998,0,4
train2999,-1,2
train3000,1,1
train3001,1,1
train3002,1,1
train3003,-1,2
train3004,0,3
train3005,0,4
train3006,0,3
train3007,0,4
train3008,0,4
train3009,0,4
train3010,-1,2
train3011,1,1
train3012,-1,2
train3013,0,3
train3014,-1,2
train3015,-1,2
train3016,-1,2
train3017,0,4
train3018,1,1
train3019,1,1
train3020,0,4
train3021,0,4
train3022,0,4
train3023,0,3
train3024,0,3
train3025,0,4
train3026,1,1
train3027,1,1
train3028,1,1
train3029,0,4
train3030,0,4
train3031,0,4
train3032,-1,2
train3033,-1,2
train3034,-1,2
train3035,0,4
train3036,-1,2
train3037,1,1
train3038,-1,2
train3039,0,3
train3040,1,1
train3041,1,1
train3042,-1,2
train3043,0,4
train3044,-1,2
train3045,1,1
train3046,0,4
train3047,0,4
train3048,-1,2
train3049,1,1
train3050,0,4
train3051,0,3
train3052,1,1
train3053,-1,2
train3054,0,4
train3055,-1,2
train3056,-1,2
train3057,1,1
train3058,-1,2
train3059,0,4
train3060,-1,2
train3061,0,3
train3062,0,3
train3063,-1,2
train3064,0,4
train3065,0,3
train3066,1,1
train3067,0,4
train3068,-1,2
train3069,0,3
train3070,-1,2
train3071,-1,2
train3072,1,1
train3073,0,3
train3074,-1,2
train3075,0,4
train3076,0,4
train3077,-1,2
train3078,-1,2
train3079,0,4
train3080,-1,2
train3081,0,4
train3082,0,4
train3083,0,4
train3084,1,1
train3085,1,1
train3086,1,1
train3087,-1,2
train3088,0,4
train3089,0,4
train3090,0,3
train3091,0,3
train3092,0,3
train3093,0,4
train3094,0,4
train3095,0,3
train3096,-1,2
train3097,-1,2
train3098,1,1
train3099,-1,2
train3100,0,3
train3101,0,3
train3102,-1,2
train3103,1,1
train3104,0,4
train3105,-1,2
train3106,0,4
train3107,1,1
train3108,0,3
train3109,1,1
train3110,0,3
train3111,1,1
train3112,0,4
train3113,0,4
train3114,0,4
train3115,-1,2
train3116,0,3
train3117,-1,2
train3118,0,4
train3119,-1,2
train3120,0,4
train3121,1,1
train3122,0,4
train3123,0,4
train3124,1,1
train3125,1,1
train3126,1,1
train3127,-1,2
train3128,1,1
train3129,1,1
train3130,1,1
train3131,0,3
train3132,0,3
train3133,0,4
train3134,0,3
train3135,1,1
train3136,0,4
train3137,0,3
train3138,1,1
train3139,0,4
train3140,0,4
train3141,-1,2
train3142,-1,2
train3143,1,1
train3144,0,3
train3145,-1,2
train3146,1,1
train3147,0,3
train3148,0,4
train3149,-1,2
train3150,-1,2
train3151,0,3
train3152,1,1
train3153,0,4
train3154,0,4
train3155,1,1
train3156,1,1
train3157,0,4
train3158,0,4
train3159,1,1
train3160,0,3
train3161,0,4
train3162,0,4
train3163,0,4
train3164,0,4
train3165,0,3
train3166,-1,2
train3167,-1,2
train3168,0,4
train3169,1,1
train3170,0,4
train3171,-1,2
train3172,0,4
train3173,1,1
train3174,0,3
train3175,0,4
train3176,-1,2
train3177,0,3
train3178,0,3
train3179,0,4
train3180,1,1
train3181,1,1
train3182,0,4
train3183,-1,2
train3184,-1,2
train3185,0,3
train3186,1,1
train3187,1,1
train3188,0,4
train3189,-1,2
train3190,0,3
train3191,0,3
train3192,1,1
train3193,0,3
train3194,0,4
train3195,0,4
train3196,0,4
train3197,0,3
train3198,1,1
train3199,0,3
train3200,-1,2
train3201,0,4
train3202,0,3
train3203,0,4
train3204,0,4
train3205,0,4
train3206,0,4
train3207,0,3
train3208,0,3
train3209,1,1
train3210,1,1
train3211,-1,2
train3212,0,3
train3213,0,3
train3214,1,1
train3215,0,4
train3216,1,1
train3217,0,3
train3218,0,4
train3219,-1,2
train3220,0,4
train3221,0,4
train3222,0,3
train3223,0,3
train3224,0,3
train3225,0,4
train3226,-1,2
train3227,0,4
train3228,-1,2
train3229,0,4
train3230,0,3
train3231,1,1
train3232,0,3
train3233,1,1
train3234,1,1
train3235,-1,2
train3236,1,1
train3237,-1,2
train3238,-1,2
train3239,0,3
train3240,0,3
train3241,0,3
train3242,0,4
train3243,0,3
train3244,0,4
train3245,0,3
train3246,0,3
train3247,-1,2
train3248,0,4
train3249,0,3
train3250,-1,2
train3251,0,3
train3252,0,4
train3253,-1,2
train3254,0,4
train3255,-1,2
train3256,1,1
train3257,0,3
train3258,-1,2
train3259,0,3
train3260,-1,2
train3261,-1,2
train3262,-1,2
train3263,1,1
train3264,1,1
train3265,-1,2
train3266,-1,2
train3267,-1,2
train3268,1,1
train3269,0,3
train3270,0,4
train3271,-1,2
train3272,-1,2
train3273,1,1
train3274,1,1
train3275,1,1
train3276,0,3
train3277,0,4
train3278,-1,2
train3279,1,1
train3280,0,4
train3281,-1,2
train3282,0,3
train3283,0,4
train3284,1,1
train3285,1,1
train3286,1,1
train3287,0,3
train3288,0,3
train3289,1,1
train3290,0,4
train3291,-1,2
train3292,0,4
train3293,0,4
train3294,-1,2
train3295,-1,2
train3296,1,1
train3297,0,3
train3298,1,1
train3299,-1,2
train3300,1,1
train3301,1,1
train3302,0,4
train3303,0,3
train3304,-1,2
train3305,0,4
train3306,0,3
train3307,0,3
train3308,1,1
train3309,0,3
train3310,0,4
train3311,0,4
train3312,-1,2
train3313,1,1
train3314,0,4
train3315,0,4
train3316,-1,2
train3317,1,1
train3318,1,1
train3319,0,3
train3320,-1,2
train3321,-1,2
train3322,1,1
train3323,-1,2
train3324,0,4
train3325,0,3
train3326,0,3
train3327,1,1
train3328,-1,2
train3329,0,4
train3330,0,3
train3331,-1,2
train3332,0,4
train3333,0,4
train3334,0,3
train3335,-1,2
train3336,0,3
train3337,0,4
train3338,0,4
train3339,0,4
train3340,0,3
train3341,1,1
train3342,0,4
train3343,0,4
train3344,-1,2
train3345,-1,2
train3346,0,3
train3347,0,3
train3348,-1,2
train3349,1,1
train3350,0,3
train3351,1,1
train3352,-1,2
train3353,0,3
train3354,1,1
train3355,1,1
train3356,1,1
train3357,1,1
train3358,0,3
train3359,-1,2
train3360,1,1
train3361,0,4
train3362,-1,2
train3363,1,1
train3364,0,3
train3365,-1,2
train3366,-1,2
train3367,0,3
train3368,-1,2
train3369,0,3
train3370,1,1
train3371,0,3
train3372,0,3
train3373,0,4
train3374,0,3
train3375,1,1
train3376,-1,2
train3377,0,3
train3378,0,4
train3379,0,3
train3380,1,1
train3381,0,3
train3382,0,4
train3383,-1,2
train3384,-1,2
train3385,-1,2
train3386,0,4
train3387,1,1
train3388,-1,2
train3389,0,3
train3390,0,4
train3391,0,4
train3392,-1,2
train3393,0,3
train3394,1,1
train3395,1,1
train3396,-1,2
train3397,0,3
train3398,0,3
train3399,0,4
train3400,0,3
train3401,0,3
train3402,-1,2
train3403,0,3
train3404,0,3
train3405,0,4
train3406,-1,2
train3407,0,3
train3408,1,1
train3409,1,1
train3410,1,1
train3411,1,1
train3412,1,1
train3413,0,3
train3414,-1,2
train3415,0,3
train3416,-1,2
train3417,0,3
train3418,0,4
train3419,1,1
train3420,0,4
train3421,0,3
train3422,0,4
train3423,0,4
train3424,-1,2
train3425,0,3
train3426,0,3
train3427,-1,2
train3428,-1,2
train3429,-1,2
train3430,-1,2
train3431,1,1
train3432,-1,2
train3433,1,1
train3434,-1,2
train3435,-1,2
train3436,0,4
train3437,0,4
train3438,-1,2
train3439,-1,2
train3440,0,3
train3441,1,1
train3442,0,4
train3443,0,3
train3444,1,1
train3445,0,4
train3446,-1,2
train3447,0,4
train3448,-1,2
train3449,1,1
train3450,0,4
train3451,0,3
train3452,1,1
train3453,0,4
train3454,0,4
train3455,0,3
train3456,1,1
train3457,1,1
train3458,0,3
train3459,0,4
train3460,0,3
train3461,0,3
train3462,0,4
train3463,0,3
train3464,1,1
train3465,-1,2
train3466,-1,2
train3467,0,4
train3468,0,3
train3469,0,3
train3470,0,4
train3471,0,4
train3472,0,4
train3473,-1,2
train3474,-1,2
train3475,0,3
train3476,-1,2
train3477,-1,2
train3478,1,1
train3479,1,1
train3480,0,3
train3481,1,1
train3482,0,4
train3483,0,3
train3484,0,3
train3485,0,3
train3486,1,1
train3487,0,4
train3488,0,4
train3489,-1,2
train3490,1,1
train3491,0,4
train3492,0,4
